Group,Mask,Mask_Label,ValidPct,n_days,coverage_pct,pearson_r,spearman_r,R2,RMSE,MAE
10-30,G8,All Land,5,2901,61.31896005072923,0.3275685700308814,0.27125306033078006,-0.3448628599382373,1.1596822236881263,0.968293562971333
10-30,G8,All Land,10,2670,56.436271401395054,0.33730774181315093,0.27813207732709316,-0.32538451637369836,1.151253454445935,0.9635157717421001
10-30,G8,All Land,15,2493,52.694990488268864,0.34645460798309025,0.28384134873194766,-0.30709078403381973,1.1432807109515228,0.9537548390064576
10-30,G8,All Land,20,2339,49.43986472204608,0.35114177551338516,0.28741273306230686,-0.2977164489732296,1.1391735815815032,0.94952063666647
10-30,G8,All Land,25,2213,46.776580004227434,0.3477921407667195,0.28249134059751846,-0.304415718466561,1.1421102041688274,0.9479947849767276
10-30,G8,All Land,30,2094,44.26125554850983,0.3531643473491856,0.2874939375564239,-0.29367130530162844,1.1373967229166915,0.9419354153503473
10-30,G8,All Land,35,1963,41.49228492919045,0.3459736458929604,0.28854774195805866,-0.3080527082140794,1.1437013194947705,0.9406520332197801
10-30,G8,All Land,40,1847,39.04037201437328,0.34576127809449386,0.2903446384635296,-0.30847744381101205,1.1438869890907108,0.9422144425450956
10-30,G8,All Land,45,1733,36.63073346015642,0.3541962430437241,0.2970607118714148,-0.2916075139125516,1.1364891173753278,0.9400030667474276
10-30,G8,All Land,50,1610,34.03086028323822,0.3494636474998604,0.300200299807783,-0.30107270500027883,1.140645740359503,0.9329416860788069
10-30,G8,All Land,55,1486,31.409849926019866,0.3405201389520559,0.29663026764472605,-0.31895972209588797,1.1484597172282047,0.9332359162506689
10-30,G8,All Land,60,1338,28.28154724159797,0.3354251048736839,0.2795556729393999,-0.32914979025263214,1.1528875878647633,0.9370144133896153
10-30,G8,All Land,65,1191,25.17438173747622,0.34330260555677117,0.28478581729403474,-0.3133947888864579,1.1460343750893591,0.9273596094755338
10-30,G8,All Land,70,1041,22.003804692454025,0.3548036502042601,0.2828835325558102,-0.2903926995914794,1.1359545323609919,0.9184800985828644
10-30,G8,All Land,75,865,18.283660959627987,0.31687731521158574,0.23595651487938138,-0.3662453695768284,1.1688649920229575,0.9526456339267428
10-30,G8,All Land,80,692,14.626928767702388,0.29009625046524684,0.193887484182774,-0.4198074990695062,1.1915567544475199,0.952850961044527
10-30,G8,All Land,85,486,10.272669625871908,0.20233459494042455,0.08956405317723982,-0.5953308101191508,1.263064056221675,1.0147027874726666
10-30,G8,All Land,90,278,5.876136123441133,0.1364353845715299,0.04628193848227103,-0.7271292308569408,1.3142028880111853,1.0710791413595782
10-30,G8,All Land,95,91,1.9234834073134643,-0.02517759498453891,-0.07286250089816057,-1.0503551899690775,1.4319061386728802,1.1705807203750822
